Component,Quantity,Provider,Link,Price (USD)
Raspberry Pi Pico W,1,Amazon,https://www.amazon.com/-/es/waveshare-microcontrolador-Pico-pre-soldada-incorporado/dp/B0BN14J26Q,13.20
PIR Motion Sensor,1,Amazon,https://www.amazon.com/-/es/HiLetgo-HC-SR501-infrarrojo-movimiento-Raspberry/dp/B07KZW86YR,8.49
DHT11 Temperature & Humidity Sensor,1,Amazon,https://www.amazon.com/-/es/dp/B0GSRWGKV6,10.50
16x2 LCD I2C Display,1,Amazon,https://www.amazon.com/-/es/SunFounder-pantalla-LCD1602-compatible-Raspberry/dp/B019K5X53O,9.99
Passive Buzzer,1,Amazon,https://www.amazon.com/-/es/MECCANIXITY-0-472x0-335-el%C3%A9ctrico-piezoel%C3%A9ctrico-desarrollo/dp/B0GK9TPXY3,5.99
Red LED,1,Amazon,https://www.amazon.com/-/es/CHANZON-bombilla-iluminaci%C3%B3n-componentes-electr%C3%B3nicos/dp/B01C3ZZT2I,3.99
220Ω Resistor and 10kΩ Resistor,1,Amazon,https://www.amazon.com/-/es/resistencias-pel%C3%ADcula-met%C3%A1lica-breadboard-electr%C3%B3nica/dp/B0F4P352BB,6.49
Female-to-Female Jumper Wires,22,Amazon,https://www.amazon.com/-/es/ELEGOO-multicolor-tablero-prototipado-compatible/dp/B01EV70C78,6.98
18650 Li-ion Battery,1,Amazon,https://www.amazon.com/-/es/QOJH-bater%C3%ADas-repuesto-capacidad-linterna/dp/B0H1KPTV5D,15.99
18650 Battery Holder with ON/OFF Switch,1,Amazon,https://www.amazon.com/-/es/soportes-interruptor-extensi%C3%B3n-circuito-electr%C3%B3nico/dp/B08597X1T3,6.99
18650 Battery Charger,1,Amazon,https://www.amazon.com/-/es/Cargador-bater%C3%ADa-cargador-recargable-Bater%C3%ADas/dp/B0C6PPXWWV,9.49
M4 × 6 mm Flat Head Machine Screws,4,Amazon,https://www.amazon.com/-/es/Tornillos-inoxidable-totalmente-reparaciones-impresora/dp/B0GC3SVPLC,5.99
Total,,,,"104.10"
